
2025/04/02 (19:15:17) | ===> btop++ v.1.4.0
2025/04/02 (19:15:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (16:23:53) | ===> btop++ v.1.4.0
2025/04/04 (16:23:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (14:51:10) | ===> btop++ v.1.4.0
2025/04/06 (14:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (09:34:55) | ===> btop++ v.1.4.0
2025/04/07 (09:34:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/01 (19:45:54) | ===> btop++ v.1.4.0
2025/05/01 (19:45:54) | WARNING: Intel GPU: Failed to initialize PMU
